    0.610560178756713867E-03    0.441098332405090332E+00   -0.654403651351913477E+13   -0.599146350544150419E+01    1
    0.526383519172668457E-02    0.770264148712158203E+00   -0.654399981419110938E+13   -0.599396350544151169E+01    1
    0.272831618785858154E-01    0.982811152935028076E+00   -0.654385888999128711E+13   -0.599646350544151474E+01    1
    0.288763046264648438E-01    0.959884345531463623E+00   -0.654384324794882422E+13   -0.599896350544151957E+01    1
    0.269724726676940918E-01    0.780341506004333496E+00   -0.654381306634188184E+13   -0.600146350544151552E+01    1
    0.238366127014160156E-01    0.662392795085906982E+00   -0.654380349939839453E+13   -0.600396350544151858E+01    1
    0.396384894847869873E-01    0.767976999282836914E+00   -0.654369825457005469E+13   -0.600646350544151630E+01    1
    0.886613130569458008E-02    0.165987551212310791E+00   -0.654368613133672266E+13   -0.600896350544152469E+01    1
    0.577980279922485352E-01    0.862957358360290527E+00   -0.654359480202101465E+13   -0.601146350544151886E+01    1
    0.379883944988250732E-01    0.529514253139495850E+00   -0.654356271242270996E+13   -0.601396350544150859E+01    1
    0.628802776336669922E-01    0.802408099174499512E+00   -0.654351811638895508E+13   -0.601646350544151520E+01    1
    0.818602144718170166E-01    0.954669415950775146E+00   -0.654346840112629492E+13   -0.601896350544151559E+01    1
    0.474098324775695801E-01    0.534544050693511963E+00   -0.654344857014557910E+13   -0.602146350544152753E+01    1
    0.703498721122741699E-01    0.766749083995819092E+00   -0.654342797266241504E+13   -0.602396350544153325E+01    1
    0.422436296939849854E-01    0.427547395229339600E+00   -0.654338047329350195E+13   -0.602646350544152298E+01    1
    0.107758104801177979E+00    0.923968195915222168E+00   -0.654326046980844336E+13   -0.602896350544150561E+01    1
    0.105185955762863159E+00    0.772827804088592529E+00   -0.654312929497488672E+13   -0.603146350544150955E+01    1
    0.120159745216369629E+00    0.868022620677947998E+00   -0.654311364573745898E+13   -0.603396350544152682E+01    1
    0.113470762968063354E+00    0.791388154029846191E+00   -0.654308029563921484E+13   -0.603646350544153165E+01    1
    0.117869764566421509E+00    0.796048879623413086E+00   -0.654304873738472461E+13   -0.603896350544152227E+01    1
    0.568156242370605469E-01    0.366309046745300293E+00   -0.654300136901600879E+13   -0.604146350544151556E+01    1
    0.914548337459564209E-01    0.557920873165130615E+00   -0.654294199234755273E+13   -0.604396350544152039E+01    1
    0.138084411621093750E+00    0.822666645050048828E+00   -0.654291553581434961E+13   -0.604646350544152966E+01    1
    0.143563896417617798E+00    0.845088422298431396E+00   -0.654290186273796289E+13   -0.604896350544152206E+01    1
    0.126964241266250610E+00    0.711133837699890137E+00   -0.654284356652424902E+13   -0.605146350544152156E+01    1
    0.118455737829208374E+00    0.651960015296936035E+00   -0.654282232887205664E+13   -0.605396350544152995E+01    1
